State,County,O3-AQI,CO-AQI,NO2-AQI,SO2-AQI,total
Georgia,Coweta,193865.0,0.0,0.0,0.0,193865.0
Georgia,Glynn,184586.0,0.0,0.0,8214.0,192800.0
Mississippi,Hancock,174712.0,0.0,18031.0,0.0,192743.0
Kentucky,Pike,188983.0,0.0,0.0,3691.0,192674.0
North Carolina,Buncombe,191035.0,0.0,0.0,1289.0,192324.0
Virginia,Chesterfield,192172.0,0.0,0.0,0.0,192172.0
Illinois,Effingham,191823.0,0.0,0.0,0.0,191823.0
Rhode Island,Kent,183968.0,0.0,6885.0,0.0,190853.0
Oregon,Jackson,129923.0,60876.833333333336,0.0,0.0,190799.83333333334
Alaska,Fairbanks North Star ,50566.0,56786.99999999999,36524.0,46491.0,190368.0
Connecticut,Middlesex,189982.0,0.0,0.0,0.0,189982.0
Iowa,Harrison,189390.25,0.0,0.0,0.0,189390.25
Rhode Island,Washington,189234.0,0.0,0.0,0.0,189234.0
New York,Steuben,169380.0,6030.0,4974.0,8646.0,189030.0
New York,Oswego,188130.0,0.0,0.0,0.0,188130.0
North Carolina,Davie,182002.0,0.0,0.0,5820.0,187822.0
Wisconsin,Dane,181409.0,4128.0,0.0,2096.0,187633.0
Ohio,Belmont,0.0,3013.0,21189.0,163292.0,187494.0
Kentucky,Kenton,121185.0,1583.0,53970.0,10728.0,187466.0
Colorado,Park,185994.0,0.0,1338.0,0.0,187332.0
Tennessee,Loudon,187314.0,0.0,0.0,0.0,187314.0
Michigan,Oakland,173224.0,14008.0,0.0,0.0,187232.0
Virginia,Frederick,187072.0,0.0,0.0,0.0,187072.0
Indiana,Posey,186971.0,0.0,0.0,0.0,186971.0
Ohio,Portage,186729.0,0.0,0.0,0.0,186729.0
New Jersey,Warren,95567.0,0.0,73509.0,17635.0,186711.0
Michigan,Ottawa,178009.0,0.0,2294.0,5889.0,186192.0
Michigan,Cass,186170.0,0.0,0.0,0.0,186170.0
Indiana,Madison,185741.0,0.0,0.0,0.0,185741.0
Texas,Polk,185509.5,0.0,0.0,0.0,185509.5
Indiana,Jackson,185490.0,0.0,0.0,0.0,185490.0
West Virginia,Berkeley,184446.0,0.0,0.0,0.0,184446.0
New York,Nassau,0.0,1667.0,123758.0,58949.0,184374.0
Indiana,Pike,0.0,0.0,0.0,183233.0,183233.0
Michigan,Muskegon,182554.0,0.0,0.0,0.0,182554.0
Tennessee,Bradley,0.0,0.0,84118.0,98277.0,182395.0
North Carolina,Jackson,182307.0,0.0,0.0,0.0,182307.0
Alabama,Etowah,182271.0,0.0,0.0,0.0,182271.0
Idaho,Bannock,0.0,0.0,0.0,182081.0,182081.0
Michigan,Lenawee,181724.0,0.0,0.0,0.0,181724.0
Wisconsin,Ozaukee,176092.5,0.0,4975.0,0.0,181067.5
West Virginia,Wayne,0.0,0.0,30447.0,150307.33333333343,180754.33333333343
Wisconsin,Walworth,180531.0,0.0,0.0,0.0,180531.0
Connecticut,Tolland,175376.0,0.0,5007.0,0.0,180383.0
Wisconsin,Rock,179118.0,0.0,0.0,0.0,179118.0
New Mexico,Grant,147151.0,0.0,0.0,31722.0,178873.0
Michigan,Kalamazoo,178572.0,0.0,0.0,0.0,178572.0
Wisconsin,Ashland,178437.0,0.0,0.0,0.0,178437.0
Wisconsin,Racine,167368.0,10187.0,0.0,0.0,177555.0
Wisconsin,Manitowoc,170853.0,0.0,5884.0,0.0,176737.0
Minnesota,Washington,150996.5,0.0,0.0,25393.0,176389.5
Illinois,Wabash,0.0,0.0,0.0,175828.0,175828.0
Iowa,Bremer,175752.0,0.0,0.0,0.0,175752.0
Alabama,Tuscaloosa,175226.0,0.0,0.0,420.0,175646.0
Wisconsin,Columbia,175213.0,0.0,0.0,0.0,175213.0
Oklahoma,Osage,86880.0,0.0,0.0,88002.0,174882.0
Wisconsin,Jefferson,174729.0,0.0,0.0,0.0,174729.0
